delta_percentile,rating_level,game_type,Apertura,Conteggio
0-25,advanced,blitz,Barnes Opening: Walkerling,1
0-25,advanced,blitz,Benko Gambit,105
0-25,advanced,blitz,Benko Gambit Accepted,2
0-25,advanced,blitz,Benko Gambit Accepted: Fianchetto Variation,4
0-25,advanced,blitz,Benko Gambit Accepted: Fully Accepted Variation,63
0-25,advanced,blitz,Benko Gambit Accepted: King Walk Variation,7
0-25,advanced,blitz,Benko Gambit Accepted: Modern Variation,15
0-25,advanced,blitz,Benko Gambit Accepted: Pawn Return Variation,31
0-25,advanced,blitz,Benko Gambit Accepted: Yugoslav,32
0-25,advanced,blitz,Benko Gambit Declined: Bishop Attack,1
0-25,advanced,blitz,Benko Gambit Declined: Hjørring Countergambit,1
0-25,advanced,blitz,Benko Gambit Declined: Main Line,18
0-25,advanced,blitz,Benko Gambit Declined: Pseudo-Sämisch,2
0-25,advanced,blitz,Benko Gambit Declined: Quiet Line,2
0-25,advanced,blitz,Benko Gambit Declined: Sosonko Variation,2
0-25,advanced,blitz,Benko Gambit: Zaitsev System,22
0-25,advanced,blitz,Benoni Defense,98
0-25,advanced,blitz,Benoni Defense: Benoni Gambit Accepted,57
0-25,advanced,blitz,Benoni Defense: Benoni-Indian Defense,26
0-25,advanced,blitz,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",19
0-25,advanced,blitz,Benoni Defense: Classical Variation,12
0-25,advanced,blitz,"Benoni Defense: Classical Variation, Argentine Counterattack",3
0-25,advanced,blitz,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",4
0-25,advanced,blitz,"Benoni Defense: Classical Variation, New York Variation",14
0-25,advanced,blitz,Benoni Defense: Czech Benoni Defense,39
0-25,advanced,blitz,Benoni Defense: Fianchetto Variation,4
0-25,advanced,blitz,"Benoni Defense: Fianchetto Variation, Hastings Defense",1
0-25,advanced,blitz,Benoni Defense: Four Pawns Attack,2
0-25,advanced,blitz,Benoni Defense: French Benoni,45
0-25,advanced,blitz,Benoni Defense: Hromádka System,48
0-25,advanced,blitz,Benoni Defense: King's Indian System,6
0-25,advanced,blitz,Benoni Defense: King's Pawn Line,74
0-25,advanced,blitz,Benoni Defense: Modern Variation,24
0-25,advanced,blitz,"Benoni Defense: Modern Variation, Snake Variation",2
0-25,advanced,blitz,Benoni Defense: Old Benoni,759
0-25,advanced,blitz,"Benoni Defense: Old Benoni, Mujannah Formation",3
0-25,advanced,blitz,"Benoni Defense: Old Benoni, Schmid Variation",3
0-25,advanced,blitz,Benoni Defense: Pawn Storm Variation,1
0-25,advanced,blitz,Benoni Defense: Semi-Benoni,16
0-25,advanced,blitz,Benoni Defense: Taimanov Variation,1
0-25,advanced,blitz,Benoni Defense: Uhlmann Variation,13
0-25,advanced,blitz,Benoni Defense: Weenink Variation,1
0-25,advanced,blitz,Bird Opening,283
0-25,advanced,blitz,Bird Opening: Dutch Variation,170
0-25,advanced,blitz,"Bird Opening: Dutch Variation, Batavo Gambit",5
0-25,advanced,blitz,Bird Opening: From's Gambit,107
0-25,advanced,blitz,"Bird Opening: From's Gambit, Lasker Variation",14
0-25,advanced,blitz,Bird Opening: Horsefly Defense,2
0-25,advanced,blitz,Bird Opening: Lasker Gambit,1
0-25,advanced,blitz,Bird Opening: Lasker Variation,14
0-25,advanced,blitz,Bird Opening: Myers Defense,1
0-25,advanced,blitz,Bird Opening: Schlechter Gambit,4
0-25,advanced,blitz,Bird Opening: Sturm Gambit,1
0-25,advanced,blitz,Bird Opening: Wagner-Zwitersch Gambit,1
0-25,advanced,blitz,Bird Opening: Williams Gambit,3
0-25,advanced,blitz,Bishop's Opening,73
0-25,advanced,blitz,Bishop's Opening: Berlin Defense,24
0-25,advanced,blitz,Bishop's Opening: Boden-Kieseritzky Gambit,4
0-25,advanced,blitz,Bishop's Opening: Boi Variation,11
0-25,advanced,blitz,Bishop's Opening: Calabrese Countergambit,24
0-25,advanced,blitz,"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",2
0-25,advanced,blitz,Bishop's Opening: Lewis Gambit,1
0-25,advanced,blitz,"Bishop's Opening: McDonnell Gambit, La Bourdonnais-Denker Gambit",1
0-25,advanced,blitz,Bishop's Opening: Philidor Counterattack,4
0-25,advanced,blitz,Bishop's Opening: Philidor Variation,2
0-25,advanced,blitz,Bishop's Opening: Ponziani Gambit,3
0-25,advanced,blitz,Bishop's Opening: Stein Gambit,1
0-25,advanced,blitz,Bishop's Opening: Urusov Gambit,1
0-25,advanced,blitz,"Bishop's Opening: Urusov Gambit, Keidansky Gambit",2
0-25,advanced,blitz,Bishop's Opening: Vienna Hybrid,20
0-25,advanced,blitz,"Bishop's Opening: Vienna Hybrid, Hromádka Variation",1
0-25,advanced,blitz,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",4
0-25,advanced,blitz,Bishop's Opening: Warsaw Gambit,2
0-25,advanced,blitz,Blackmar-Diemer Gambit,12
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Bogoljubow Defense,1
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Euwe Defense,6
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Kaulich Defense,1
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Ryder Gambit,17
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Teichmann Defense,12
0-25,advanced,blitz,"Blackmar-Diemer Gambit Accepted: Teichmann Defense, Classical Variation",2
0-25,advanced,blitz,"Blackmar-Diemer Gambit Accepted: Teichmann Defense, Seidel-Hall Attack",1
0-25,advanced,blitz,Blackmar-Diemer Gambit Accepted: Ziegler Defense,7
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: Elbert Countergambit,1
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: Lamb Defense,1
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: Langeheinicke Defense,1
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: O'Kelly Defense,64
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: Vienna Defense,4
0-25,advanced,blitz,Blackmar-Diemer Gambit Declined: Weinsbach Defense,5
0-25,advanced,blitz,Blackmar-Diemer Gambit: Blackmar Gambit,9
0-25,advanced,blitz,Blackmar-Diemer Gambit: Fritz Attack,4
0-25,advanced,blitz,Blackmar-Diemer Gambit: Netherlands Variation,11
0-25,advanced,blitz,Blackmar-Diemer Gambit: Reversed Albin Countergambit,3
0-25,advanced,blitz,Blackmar-Diemer Gambit: Zeller Defense,6
0-25,advanced,blitz,"Blackmar-Diemer Gambit: Zeller Defense, Soller Attack",1
0-25,advanced,blitz,Blackmar-Diemer Gambit: von Popiel Gambit,10
0-25,advanced,blitz,Blumenfeld Countergambit,8
0-25,advanced,blitz,Bogo-Indian Defense: Exchange Variation,15
0-25,advanced,blitz,Bogo-Indian Defense: Grünfeld Variation,3
0-25,advanced,blitz,Bogo-Indian Defense: Haiti Variation,1
0-25,advanced,blitz,Bogo-Indian Defense: Nimzowitsch Variation,21
0-25,advanced,blitz,Bogo-Indian Defense: Retreat Variation,12
0-25,advanced,blitz,Bogo-Indian Defense: Vitolins Variation,4
0-25,advanced,blitz,Bogo-Indian Defense: Wade-Smyslov Variation,10
0-25,advanced,blitz,Bongcloud Attack,1
0-25,advanced,blitz,Borg Defense,8
0-25,advanced,blitz,Borg Defense: Borg Gambit,3
0-25,advanced,blitz,Canard Opening,16
0-25,advanced,blitz,Caro-Kann Defense,1105
0-25,advanced,blitz,Caro-Kann Defense: Accelerated Panov Attack,56
0-25,advanced,blitz,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",118
0-25,advanced,blitz,"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",2
0-25,advanced,blitz,Caro-Kann Defense: Advance Variation,443
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Bayonet Attack",140
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",96
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Bronstein Variation",28
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Prins Attack",17
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Short Variation",180
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Tal Variation",207
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",20
0-25,advanced,blitz,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack, Dreyev Defense",16
0-25,advanced,blitz,Caro-Kann Defense: Alekhine Gambit,30
0-25,advanced,blitz,Caro-Kann Defense: Alien Gambit,43
0-25,advanced,blitz,Caro-Kann Defense: Apocalypse Attack,16
0-25,advanced,blitz,Caro-Kann Defense: Breyer Variation,264
0-25,advanced,blitz,Caro-Kann Defense: Bronstein-Larsen Variation,27
0-25,advanced,blitz,Caro-Kann Defense: Campomanes Attack,28
0-25,advanced,blitz,Caro-Kann Defense: Classical Variation,34
0-25,advanced,blitz,"Caro-Kann Defense: Classical Variation, Lobron System",3
0-25,advanced,blitz,"Caro-Kann Defense: Classical Variation, Main Line",12
0-25,advanced,blitz,"Caro-Kann Defense: Classical Variation, Maróczy Attack",2
0-25,advanced,blitz,"Caro-Kann Defense: Classical Variation, Seirawan Variation",2
0-25,advanced,blitz,"Caro-Kann Defense: Classical Variation, Spassky Variation",9
0-25,advanced,blitz,Caro-Kann Defense: Endgame Offer,63
0-25,advanced,blitz,Caro-Kann Defense: Endgame Variation,34
0-25,advanced,blitz,Caro-Kann Defense: Euwe Attack,22
0-25,advanced,blitz,Caro-Kann Defense: Exchange Variation,1315
0-25,advanced,blitz,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",78
0-25,advanced,blitz,Caro-Kann Defense: Finnish Variation,1
0-25,advanced,blitz,Caro-Kann Defense: Forgacs Variation,42
0-25,advanced,blitz,Caro-Kann Defense: Goldman Variation,23
0-25,advanced,blitz,Caro-Kann Defense: Gurgenidze Counterattack,3
0-25,advanced,blitz,Caro-Kann Defense: Gurgenidze System,3
0-25,advanced,blitz,Caro-Kann Defense: Hector Gambit,2
0-25,advanced,blitz,Caro-Kann Defense: Hillbilly Attack,151
0-25,advanced,blitz,"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",9
0-25,advanced,blitz,Caro-Kann Defense: Karpov Variation,17
0-25,advanced,blitz,"Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack",15
0-25,advanced,blitz,Caro-Kann Defense: Labahn Attack,3
0-25,advanced,blitz,Caro-Kann Defense: Main Line,250
0-25,advanced,blitz,Caro-Kann Defense: Maróczy Variation,182
0-25,advanced,blitz,"Caro-Kann Defense: Maróczy Variation, Maróczy Gambit",50
0-25,advanced,blitz,Caro-Kann Defense: Masi Variation,6
0-25,advanced,blitz,Caro-Kann Defense: Mieses Gambit,10
0-25,advanced,blitz,Caro-Kann Defense: Modern Variation,7
0-25,advanced,blitz,Caro-Kann Defense: Panov Attack,159
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Fianchetto Defense",3
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",21
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Gunderam Attack",21
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Main Line",15
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense",78
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense, Carlsbad Line",20
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense, Czerniak Line",1
0-25,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line",87
0-25,advanced,blitz,Caro-Kann Defense: Rasa-Studier Gambit,10
0-25,advanced,blitz,Caro-Kann Defense: Tartakower Variation,408
0-25,advanced,blitz,Caro-Kann Defense: Toikkanen Gambit,2
0-25,advanced,blitz,Caro-Kann Defense: Two Knights Attack,401
0-25,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",7
0-25,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line",15
0-25,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line",16
0-25,advanced,blitz,Caro-Kann Defense: Ulysses Gambit,11
0-25,advanced,blitz,Caro-Kann Defense: von Hennig Gambit,21
0-25,advanced,blitz,Catalan Opening,15
0-25,advanced,blitz,Catalan Opening: Closed,21
0-25,advanced,blitz,"Catalan Opening: Closed Variation, Traditional Variation",1
0-25,advanced,blitz,"Catalan Opening: Closed, Botvinnik Variation",1
0-25,advanced,blitz,Catalan Opening: Open Defense,10
0-25,advanced,blitz,"Catalan Opening: Open Defense, Classical Line",5
0-25,advanced,blitz,Center Game,22
0-25,advanced,blitz,Center Game: Berger Variation,2
0-25,advanced,blitz,Center Game: Halasz-McDonnell Gambit,6
0-25,advanced,blitz,Center Game: Hall Variation,1
0-25,advanced,blitz,Center Game: Kieseritzky Variation,21
0-25,advanced,blitz,Center Game: Normal Variation,11
0-25,advanced,blitz,Center Game: Paulsen Attack Variation,12
0-25,advanced,blitz,Center Game: von der Lasa Gambit,1
0-25,advanced,blitz,Clemenz Opening,6
0-25,advanced,blitz,Czech Defense,30
0-25,advanced,blitz,Danish Gambit,34
0-25,advanced,blitz,Danish Gambit Accepted,85
0-25,advanced,blitz,Danish Gambit Accepted: Chigorin Defense,1
0-25,advanced,blitz,Danish Gambit Accepted: Classical Defense,9
0-25,advanced,blitz,Danish Gambit Accepted: Copenhagen Defense,19
0-25,advanced,blitz,Danish Gambit Accepted: Schlechter Defense,4
0-25,advanced,blitz,Danish Gambit Accepted: Svenonius Defense,1
0-25,advanced,blitz,Danish Gambit Declined: Sörensen Defense,22
0-25,advanced,blitz,Duras Gambit,22
0-25,advanced,blitz,Dutch Defense,78
0-25,advanced,blitz,Dutch Defense: Bellon Gambit,18
0-25,advanced,blitz,Dutch Defense: Classical Variation,50
0-25,advanced,blitz,"Dutch Defense: Classical Variation, Buenos Aires Variation",1
0-25,advanced,blitz,"Dutch Defense: Classical Variation, Huisl Variation",1
0-25,advanced,blitz,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation",1
0-25,advanced,blitz,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Winter Variation",1
0-25,advanced,blitz,Dutch Defense: Fianchetto Attack,1
0-25,advanced,blitz,Dutch Defense: Hopton Attack,11
0-25,advanced,blitz,Dutch Defense: Janzen-Korchnoi Gambit,4
0-25,advanced,blitz,Dutch Defense: Korchnoi Attack,3
0-25,advanced,blitz,Dutch Defense: Krejcik Gambit,2
0-25,advanced,blitz,"Dutch Defense: Leningrad Variation, Matulovic Variation",6
0-25,advanced,blitz,"Dutch Defense: Leningrad Variation, Warsaw Variation",6
0-25,advanced,blitz,Dutch Defense: Nimzo-Dutch Variation,1
0-25,advanced,blitz,Dutch Defense: Normal Variation,53
0-25,advanced,blitz,Dutch Defense: Queen's Knight Variation,102
0-25,advanced,blitz,Dutch Defense: Raphael Variation,14
0-25,advanced,blitz,Dutch Defense: Rubinstein Variation,38
0-25,advanced,blitz,Dutch Defense: Staunton Gambit,10
0-25,advanced,blitz,Dutch Defense: Staunton Gambit Accepted,17
0-25,advanced,blitz,"Dutch Defense: Staunton Gambit, American Attack",1
0-25,advanced,blitz,"Dutch Defense: Staunton Gambit, Nimzowitsch Variation",1
0-25,advanced,blitz,Dutch Defense: Stonewall Variation,11
0-25,advanced,blitz,"Dutch Defense: Stonewall Variation, Modern Variation",6
0-25,advanced,blitz,Döry Defense,1
0-25,advanced,blitz,East Indian Defense,49
0-25,advanced,blitz,Elephant Gambit,129
0-25,advanced,blitz,Elephant Gambit: Maróczy Gambit,2
0-25,advanced,blitz,Elephant Gambit: Paulsen Countergambit,103
0-25,advanced,blitz,English Defense,333
0-25,advanced,blitz,English Defense: Hartlaub Gambit Declined,1
0-25,advanced,blitz,English Defense: Perrin Variation,2
0-25,advanced,blitz,English Opening,61
0-25,advanced,blitz,English Opening: Agincourt Defense,143
0-25,advanced,blitz,"English Opening: Agincourt Defense, Catalan Defense",7
0-25,advanced,blitz,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",13
0-25,advanced,blitz,"English Opening: Agincourt Defense, Kurajica Defense",7
0-25,advanced,blitz,"English Opening: Agincourt Defense, Neo-Catalan Declined",3
0-25,advanced,blitz,"English Opening: Agincourt Defense, Wimpy System",2
0-25,advanced,blitz,English Opening: Anglo-Dutch Defense,25
0-25,advanced,blitz,English Opening: Anglo-Grünfeld Defense,6
0-25,advanced,blitz,English Opening: Anglo-Indian Defense,168
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",3
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",1
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Hedgehog System",33
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, King's Indian Formation",20
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, King's Knight Variation",18
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Nimzo-English",4
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Old Indian Formation",3
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",6
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",95
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Scandinavian Defense",3
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",2
0-25,advanced,blitz,"English Opening: Anglo-Indian Defense, Slav Formation",1
0-25,advanced,blitz,English Opening: Anglo-Lithuanian Variation,17
0-25,advanced,blitz,English Opening: Anglo-Scandinavian Defense,46
0-25,advanced,blitz,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",7
0-25,advanced,blitz,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",13
0-25,advanced,blitz,English Opening: Carls-Bremen System,25
0-25,advanced,blitz,English Opening: Caro-Kann Defensive System,153
0-25,advanced,blitz,English Opening: Drill Variation,1
0-25,advanced,blitz,"English Opening: Four Knights System, Nimzowitsch Variation",11
0-25,advanced,blitz,English Opening: Great Snake Variation,85
0-25,advanced,blitz,English Opening: Jaenisch Gambit,3
0-25,advanced,blitz,English Opening: King's English Variation,360
0-25,advanced,blitz,"English Opening: King's English Variation, Botvinnik System",1
0-25,advanced,blitz,"English Opening: King's English Variation, Closed System",1
0-25,advanced,blitz,"English Opening: King's English Variation, Closed System, Full Symmetry",1
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation",5
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Bradley Beach Variation",1
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",30
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6",2
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, Be7",4
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, a6",2
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Nb6",3
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Flexible Line",23
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Korchnoi Line",7
0-25,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Quiet Line",26
0-25,advanced,blitz,"English Opening: King's English Variation, Keres Defense",2
0-25,advanced,blitz,"English Opening: King's English Variation, Kramnik-Shirov Counterattack",5
0-25,advanced,blitz,"English Opening: King's English Variation, Nimzowitsch Variation",6
0-25,advanced,blitz,"English Opening: King's English Variation, Reversed Closed Sicilian",213
0-25,advanced,blitz,"English Opening: King's English Variation, Reversed Sicilian",46
0-25,advanced,blitz,"English Opening: King's English Variation, Taimanov Variation",1
0-25,advanced,blitz,"English Opening: King's English Variation, Three Knights System",8
0-25,advanced,blitz,"English Opening: King's English Variation, Troger Defense",2
0-25,advanced,blitz,"English Opening: King's English Variation, Two Knights Variation",43
0-25,advanced,blitz,"English Opening: King's English Variation, Two Knights Variation, Fianchetto Line",2
0-25,advanced,blitz,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",22
0-25,advanced,blitz,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",7
0-25,advanced,blitz,"English Opening: King's English Variation, Two Knights Variation, Smyslov System",19
0-25,advanced,blitz,English Opening: Mikenas-Carls Variation,23
0-25,advanced,blitz,English Opening: Myers Gambit,1
0-25,advanced,blitz,English Opening: Neo-Catalan,1
0-25,advanced,blitz,English Opening: Romanishin Gambit,1
0-25,advanced,blitz,English Opening: Symmetrical Variation,162
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Anti-Benoni Variation",138
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",46
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Botvinnik System",5
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",2
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with e3",4
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Duchamp Variation",22
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Fianchetto Variation",10
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Four Knights Variation",5
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Full Symmetry Line",16
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Hedgehog Defense",1
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Mecking Variation",2
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Normal Variation",51
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Rubinstein Variation",3
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Three Knights Variation",5
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",8
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Two Knights Variation",17
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation",19
0-25,advanced,blitz,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",5
0-25,advanced,blitz,English Opening: The Whale,23
0-25,advanced,blitz,English Opening: Wing Gambit,1
0-25,advanced,blitz,Englund Gambit,295
0-25,advanced,blitz,Englund Gambit Declined,92
0-25,advanced,blitz,Englund Gambit Declined: Reversed Alekhine,3
0-25,advanced,blitz,Englund Gambit Declined: Reversed Brooklyn,2
0-25,advanced,blitz,Englund Gambit Declined: Reversed French,30
0-25,advanced,blitz,Englund Gambit Declined: Reversed Krebs,2
0-25,advanced,blitz,Englund Gambit Declined: Reversed Mokele Mbembe,4
0-25,advanced,blitz,Englund Gambit: Felbecker Gambit,8
0-25,advanced,blitz,Englund Gambit: Hartlaub-Charlick Gambit,203
0-25,advanced,blitz,Englund Gambit: Main Line,48
0-25,advanced,blitz,Englund Gambit: Soller Gambit,3
0-25,advanced,blitz,Englund Gambit: Soller Gambit Deferred,2
0-25,advanced,blitz,Englund Gambit: Stockholm Variation,6
0-25,advanced,blitz,Englund Gambit: Zilbermints Gambit,1
0-25,advanced,blitz,Four Knights Game,12
0-25,advanced,blitz,Four Knights Game: Gunsberg Variation,3
0-25,advanced,blitz,Four Knights Game: Halloween Gambit,2
0-25,advanced,blitz,Four Knights Game: Italian Variation,47
0-25,advanced,blitz,"Four Knights Game: Italian Variation, Noa Gambit",14
0-25,advanced,blitz,Four Knights Game: Scotch Variation,9
0-25,advanced,blitz,Four Knights Game: Scotch Variation Accepted,35
0-25,advanced,blitz,Four Knights Game: Spanish Variation,15
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Classical Variation",8
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Double Spanish",3
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Ranken Variation",4
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Rubinstein Variation",3
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Rubinstein Variation, Henneberger Variation",3
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Rubinstein Variation, Marshall Variation",1
0-25,advanced,blitz,"Four Knights Game: Spanish Variation, Symmetrical Variation",3
0-25,advanced,blitz,French Defense,104
0-25,advanced,blitz,French Defense: Advance Variation,167
0-25,advanced,blitz,"French Defense: Advance Variation, Euwe Variation",31
0-25,advanced,blitz,"French Defense: Advance Variation, Extended Bishop Swap",22
0-25,advanced,blitz,"French Defense: Advance Variation, Frenkel Gambit",2
0-25,advanced,blitz,"French Defense: Advance Variation, Lputian Variation",4
0-25,advanced,blitz,"French Defense: Advance Variation, Main Line",54
0-25,advanced,blitz,"French Defense: Advance Variation, Milner-Barry Gambit",34
0-25,advanced,blitz,"French Defense: Advance Variation, Milner-Barry Gambit, Hector Variation",11
0-25,advanced,blitz,"French Defense: Advance Variation, Milner-Barry Gambit, Main Line",30
